seq,t_utc,true_label,pred_prob,pred_label,model_version,http_status
499,2026-09-22T07:55:47Z,0.0,0.042456920371981156,0,2,200
500,2026-09-22T07:55:47Z,0.0,0.013607317692568718,0,2,200
501,2026-09-22T07:55:48Z,0.0,0.07131002072598375,0,2,200
502,2026-09-22T07:55:48Z,0.0,0.1419540005477347,0,2,200
503,2026-09-22T07:55:49Z,0.0,0.030221424066740735,0,2,200
504,2026-09-22T07:55:49Z,0.0,0.016485522552889365,0,2,200
505,2026-09-22T07:55:49Z,0.0,0.1113970205973513,0,4,200
506,2026-09-22T07:55:50Z,0.0,0.05351860459454612,0,4,200
507,2026-09-22T07:55:50Z,0.0,0.01595923438359361,0,2,200
508,2026-09-22T07:55:50Z,0.0,0.03013775632783687,0,2,200
509,2026-09-22T07:55:51Z,0.0,0.013360595635445047,0,2,200
510,2026-09-22T07:55:51Z,0.0,0.0322793451286513,0,2,200
511,2026-09-22T07:55:51Z,0.0,0.02571060268189562,0,2,200
512,2026-09-22T07:55:52Z,0.0,0.023127835415731046,0,2,200
513,2026-09-22T07:55:52Z,0.0,0.02421023074637678,0,2,200
514,2026-09-22T07:55:52Z,0.0,0.05351860459454612,0,4,200
515,2026-09-22T07:55:53Z,0.0,0.017181745186428916,0,2,200
516,2026-09-22T07:55:53Z,0.0,0.021132240118305046,0,2,200
517,2026-09-22T07:55:54Z,0.0,0.016597719407470058,0,2,200
518,2026-09-22T07:55:54Z,0.0,0.13989341141737777,0,2,200
519,2026-09-22T07:55:54Z,0.0,0.024208333604271975,0,2,200
520,2026-09-22T07:55:55Z,0.0,0.016170365291175617,0,2,200
521,2026-09-22T07:55:55Z,0.0,0.10854084182443778,0,2,200
522,2026-09-22T07:55:55Z,0.0,0.07630794846385007,0,2,200
523,2026-09-22T07:55:56Z,0.0,0.013629322318555128,0,2,200
524,2026-09-22T07:55:56Z,0.0,0.05351860459454612,0,4,200
525,2026-09-22T07:55:56Z,0.0,0.0655777160670333,0,4,200
526,2026-09-22T07:55:57Z,0.0,0.07074601352774049,0,4,200
527,2026-09-22T07:55:57Z,0.0,0.13878658666702232,0,2,200
528,2026-09-22T07:55:58Z,1.0,0.18896205915013797,0,2,200
529,2026-09-22T07:55:58Z,0.0,0.028068518768853745,0,2,200
530,2026-09-22T07:55:58Z,0.0,0.03666700201767664,0,2,200
531,2026-09-22T07:55:59Z,0.0,0.08676279595007612,0,4,200
532,2026-09-22T07:55:59Z,0.0,0.11507068438042985,0,2,200
533,2026-09-22T07:55:59Z,0.0,0.019380273806840737,0,2,200
534,2026-09-22T07:56:00Z,0.0,0.03666198631925623,0,2,200
535,2026-09-22T07:56:00Z,1.0,0.1409333877687599,0,2,200
536,2026-09-22T07:56:00Z,0.0,0.022256974746043646,0,2,200
537,2026-09-22T07:56:01Z,0.0,0.03031867553073592,0,2,200
538,2026-09-22T07:56:01Z,0.0,0.06017798776831809,0,2,200
539,2026-09-22T07:56:02Z,0.0,0.022611008947691687,0,2,200
540,2026-09-22T07:56:02Z,0.0,0.1516354835210442,0,2,200
541,2026-09-22T07:56:02Z,0.0,0.03635380716140299,0,2,200
542,2026-09-22T07:56:03Z,0.0,0.022122362383164066,0,2,200
543,2026-09-22T07:56:03Z,0.0,0.0228300443465232,0,2,200
544,2026-09-22T07:56:03Z,0.0,0.18823622872359871,0,4,200
545,2026-09-22T07:56:04Z,0.0,0.027680015784580417,0,2,200
546,2026-09-22T07:56:04Z,0.0,0.017835491996469742,0,2,200
547,2026-09-22T07:56:04Z,0.0,0.14542198038104942,0,4,200
548,2026-09-22T07:56:05Z,0.0,0.18245372644922125,0,2,200
549,2026-09-22T07:56:05Z,0.0,0.14766857218143503,0,2,200
550,2026-09-22T07:56:06Z,0.0,0.11148332452773695,0,2,200
551,2026-09-22T07:56:06Z,0.0,0.04476833378720655,0,2,200
552,2026-09-22T07:56:06Z,0.0,0.04644580560464882,0,2,200
553,2026-09-22T07:56:07Z,0.0,0.47947759281770813,0,2,200
554,2026-09-22T07:56:07Z,0.0,0.4612497239044018,0,2,200
555,2026-09-22T07:56:07Z,0.0,0.33398281540753744,0,2,200
556,2026-09-22T07:56:08Z,0.0,0.05096675702543583,0,2,200
557,2026-09-22T07:56:08Z,0.0,0.05298944339925895,0,2,200
558,2026-09-22T07:56:08Z,0.0,0.046654635958918486,0,2,200
559,2026-09-22T07:56:09Z,0.0,0.3088545593883525,0,2,200
560,2026-09-22T07:56:09Z,0.0,0.054645607841571284,0,2,200
561,2026-09-22T07:56:10Z,0.0,0.0501476691252126,0,2,200
562,2026-09-22T07:56:10Z,0.0,0.3678693075884491,0,2,200
563,2026-09-22T07:56:10Z,0.0,0.1204458739926026,0,2,200
564,2026-09-22T07:56:11Z,0.0,0.18143418169683087,0,2,200
565,2026-09-22T07:56:11Z,1.0,0.20110118056148454,0,2,200
566,2026-09-22T07:56:11Z,1.0,0.48192186000843334,0,2,200
567,2026-09-22T07:56:12Z,0.0,0.024979736012401124,0,2,200
568,2026-09-22T07:56:12Z,1.0,0.12147202616147006,0,2,200
569,2026-09-22T07:56:12Z,0.0,0.0655777160670333,0,4,200
